GEOID,NAME,ABBR,year,pwd_no_int,pwod_no_int,pwd_int,pwod_int,pwd_int_pct,pwod_int_pct,pwd_smartphone,pwod_smartphone,pwd_smartphone_pct,pwod_smartphone_pct
0,United States,USA,2022,4406630,9671978,38765043,272291018,83.70962602191120,94.88198770654760,36976117,268658464,92.1789950073276,98.16730072803720
1,Alabama,AL,2022,112145,231802,724293,3864737,81.60128436232540,92.30995037614390,713355,3880568,93.30793167450820,97.7294574668354
2,Alaska,AK,2022,5975,14434,86673,596443,87.97860246051400,93.91812202492020,87376,592331,93.70683368366870,96.07637047237650
4,Arizona,AZ,2022,85478,242646,866862,6009279,86.54348978534400,94.52196035326830,840965,5984030,94.46136807319990,98.2655333563341
5,Arkansas,AR,2022,83334,146958,449740,2282538,80.0321737381862,91.90115666702100,455163,2303973,94.03455927014000,97.70194197607040
6,California,CA,2022,337232,791247,3995374,33030253,84.99555171309040,96.21772841907940,3848963,32640167,91.271609039794,98.46999409273560
8,Colorado,CO,2022,53063,114273,599898,4951108,85.14130892957760,96.41256120584150,571755,4891436,91.71779879207870,98.59003222887140
9,Connecticut,CT,2022,39630,75914,382580,3008345,81.23804245578500,95.3435651107925,352774,2919653,87.86379112380790,97.62564275066860
10,Delaware,DE,2022,10809,25214,123738,835947,87.32330752782270,95.35208938114170,118444,818182,94.30404942753860,98.13677559264790
11,District of Columbia,DC,2022,6137,16071,62531,549089,81.21120029091670,92.31411975353270,58804,545206,87.59198021866720,94.84301149341310
12,Florida,FL,2022,245018,606049,2723633,18192841,86.1971642881715,95.32507954392790,2609075,17962965,93.17476104342730,98.43191403073690
13,Georgia,GA,2022,144164,346086,1269099,8903199,84.97101234829100,94.52072333543790,1240642,8866535,93.92072045337210,98.1184873578538
15,Hawaii,HI,2022,17634,37111,167564,1177013,83.61769123671990,94.93548571829560,162291,1162580,91.43876136709380,97.83893915383770
16,Idaho,ID,2022,20057,39000,239884,1590258,86.1785405073341,95.75967858871930,228709,1562127,92.54790085988870,98.02842091061130
17,Illinois,IL,2022,153620,326336,1330333,10496395,83.03677483504470,95.59618361900450,1251480,10321459,91.37371607472980,98.49980803841410
18,Indiana,IN,2022,95806,245366,832712,5480624,83.33987205457300,93.94505628433720,785552,5395511,91.74758528865580,98.03991436538480
19,Iowa,IA,2022,43004,97357,343097,2618370,80.12016962926290,94.44794536211770,322505,2582260,88.4467079137322,97.85654356375690
20,Kansas,KS,2022,39922,70796,349135,2390808,82.37929846583640,95.12488580913970,331611,2350851,90.51309066294,97.84681736281330
21,Kentucky,KY,2022,98775,142802,693578,3457080,82.40067291265200,94.18306999735190,657004,3399396,93.01196973236220,97.96219716377870
