var_readable,var_topic,var_pretty,var_database,is_demographics,is_community_living,is_community_participation,is_work_economic,display,display_type,national_dropdown_label,national_summary_text,var_base
pop_cni_total_all,Overview,Population,S1810_C01_001,TRUE,FALSE,FALSE,FALSE,FALSE,standalone,NA,"The U.S. Census Bureau universe for reporting most disability data is the civilian noninstitutional population, which is defined as persons who are not inmates of institutions (e.g., penal and mental facilities, homes for the aged), and who are not on active duty in the Armed Forces.",NA
pop_cni_total_dis,Overview,# of People with Disabilities,S1810_C02_001,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,NA,NA,NA
pct_cni_total_dis,Overview,% of People with Disabilities,NA,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,People with Disabilities,"According to the U.S. Census Bureau, a person is considered to have a disability if they report one of six disability types (hearing, vision, cognitive, ambulatory, self-care, or independent living).",NA
pop_cni_total_nodis,Overview,# of People without Disabilities,NA,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,NA,NA,NA
pct_cni_total_nodis,Overview,% of People without Disabilities,NA,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,NA,"According to the U.S. Census Bureau, a person is considered to have a disability if they do not report one of six disability types (hearing, vision, cognitive, ambulatory, self-care, or independent living).",NA
pop_cni_total_hearing_dis,Hearing Disability,# of People with a Hearing Disability,S1810_C02_019,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,NA,NA,NA
pct_cni_total_hearing_dis,Hearing Disability,% of People with a Hearing Disability,NA,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,Disability Type: Hearing,"According to the U.S. Census Bureau, a hearing disability is defined as being deaf or having serious difficulty hearing.",NA
pop_cni_total_vision_dis,Vision Disability,# of People with a Vision Disability,S1810_C02_029,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,NA,NA,NA
pct_cni_total_vision_dis,Vision Disability,% of People with a Vision Disability,NA,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,Disability Type: Vision,"According to the U.S. Census Bureau, a vision disability is defined as being blind or having serious difficulty seeing, even when wearing glasses",NA
pop_cni_total_cognitive_dis,Cognitive Disability,# of People with a Cognitive Disability,S1810_C02_039,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,NA,NA,NA
pct_cni_total_cognitive_dis,Cognitive Disability,% of People with a Cognitive Disability,NA,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,Disability Type: Cognitive,"According to the U.S. Census Bureau, a cognitive disability is defined as having difficulty remembering, concentrating, or making decisions because of a physical, mental, or emotional problem.",NA
pop_cni_total_mobility_dis,Ambulatory,# of People with a Mobility Disability,S1810_C02_047,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,NA,NA,NA
pct_cni_total_mobility_dis,Ambulatory,%  of People with a Mobility Disability,NA,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,Disability Type: Mobility,"According to the U.S. Census Bureau, an ambulatory disability is defined as having serious difficulty walking or climbing stairs.",NA
pop_cni_selfcare_dis,Self Care,# of People with a Self Care Disability,S1810_C02_055,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,NA,NA,NA
pct_cni_selfcare_dis,Self Care,% of People with a Self Care Disability,NA,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,Disability Type: Self-Care,"According to the U.S. Census Bureau, a self-care disability is defined as having difficulty bathing or dressing.",NA
pop_cni_indepliving_dis,Independent Living,# of People with an Independent Living Disability,S1810_C02_063,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,NA,NA,NA
pct_cni_indepliving_dis,Independent Living,% of People with an Independent Living Disability,NA,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,Disability Type: Independent Living,"According to the U.S. Census Bureau, an independent living disability is defined as having difficulty doing errands alone such as visiting a doctor's office or shopping because of a physical, mental, or emotional problem.",NA
pop_cni_white_dis,White Alone,"# of People with Disabilities, White alone",S1810_C02_004,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,NA,NA,NA
pct_cni_dis_white,White Alone,"% of People with Disabilities, White alone",NA,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,NA,"According to the U.S. Census Bureau, white is defined as a person having origins in any of the original peoples of Europe, the Middle East, or North Africa.",NA
pct_cni_white_and_dis,White Alone,"% of Population, White alone & Disabled",NA,TRUE,FALSE,FALSE,FALSE,FALSE,standalone,"Race: White, Alone","According to the U.S. Census Bureau, white is defined as a person having origins in any of the original peoples of Europe, the Middle East, or North Africa.",NA
pct_cni_white_dis,White Alone,"% of White alone population, Disabled",NA,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,NA,"According to the U.S. Census Bureau, white is defined as a person having origins in any of the original peoples of Europe, the Middle East, or North Africa.",NA
pop_cni_whitenonhisp_dis,Non-Hispanic White Alone,"# of People with Disabilities, White alone, Non-Hispanic",S1810_C02_011,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,NA,NA,NA
pct_cni_dis_whitenonhisp,Non-Hispanic White Alone,"% of People with Disabilities, White alone Non-Hispanic",NA,TRUE,FALSE,FALSE,FALSE,TRUE,standalone,"Race: White, Alone,  Non-Hispanic","According to the U.S. Census Bureau, Hispanic or Latino is defined as a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin regardless of race.",NA
