indicator_id,category,dimension,indicator_label,pwd_raw_var,pwod_raw_var,derived,direction,transform,weight,notes
rel_score_home,CL,relative,Living at Home: Relative,pct_grp_dis_home,,0,higher_better,none,1,
eq_score_home,CL,equity,Living at Home: Equity,pct_grp_dis_home,pct_grp_nodis_home,1,lower_better,none,1,
rel_score_noninstgroupquarters,CL,relative,Living in Non-Institutionalized Group Quarters: Relative,pct_grp_dis_noninstgroupquarters,,0,lower_better,none,1,
eq_score_noninstgroupquarters,CL,equity,Living in Non-Institutionalized Group Quarters: Equity,pct_grp_dis_noninstgroupquarters,pct_grp_nodis_noninstgroupquarters,1,lower_better,none,1,
rel_score_nursing_18to64,CL,relative,Living in Nursing Home Age 18 to 64: Relative,pct_grp_dis_18to64_nursing,,0,lower_better,none,1,
eq_score_nursing_18to64,CL,equity,Living in Nursing Home Age 18 to 64: Equity,pct_grp_dis_18to64_nursing,pct_grp_nodis_18to64_nursing,1,lower_better,none,1,
rel_score_nursing_65plus,CL,relative,Living in Nursing Home Age 65 plus: Relative,pct_grp_dis_65plus_nursing,,0,lower_better,none,1,
eq_score_nursing_65plus,CL,equity,Living in Nursing Home Age 65 plus: Equity,pct_grp_dis_65plus_nursing,pct_grp_nodis_65plus_nursing,1,lower_better,none,1,
rel_score_corrections,CL,relative,Living in Correctional Facility: Relative,pct_grp_dis_corrections,,0,lower_better,none,1,
eq_score_corrections,CL,equity,Living in Correctional Facility: Equity,pct_grp_dis_corrections,pct_grp_nodis_corrections,1,lower_better,none,1,
rel_score_computer,CP,relative,Computer Access: Relative,pwd_computer_pct,,0,higher_better,none,1,
eq_score_computer,CP,equity,Computer Access: Equity,pwd_computer_pct,pwod_computer_pct,1,lower_better,none,1,
rel_score_smartphone,CP,relative,Smartphone Access: Relative,pwd_smartphone_pct,,0,higher_better,none,1,
eq_score_smartphone,CP,equity,Smartphone Access: Equity,pwd_smartphone_pct,pwod_smartphone_pct,1,lower_better,none,1,
rel_score_int,CP,relative,Internet Access: Relative,pwd_int_pct,,0,higher_better,none,1,
eq_score_int,CP,equity,Internet Access: Equity,pwd_int_pct,pwod_int_pct,1,lower_better,none,1,
rel_score_19to64_publichealth,CP,relative,Has Public Health Insurance Age 19 to 64: Relative,pct_cni_19to64_dis_publichealth,,0,higher_better,none,1,
eq_score_19to64_publichealth,CP,equity,Has Public Health Insurance Age 19 to 64: Equity,pct_cni_19to64_dis_publichealth,pct_cni_19to64_nodis_publichealth,1,lower_better,none,1,
rel_score_65plus_publichealth,CP,relative,Has Public Health Insurance Age 65 plus: Relative,pct_cni_65plus_dis_publichealth,,0,higher_better,none,1,
eq_score_65plus_publichealth,CP,equity,Has Public Health Insurance Age 65 plus: Equity,pct_cni_65plus_dis_publichealth,pct_cni_65plus_nodis_publichealth,1,lower_better,none,1,
rel_score_19to64_privatehealth,CP,relative,Has Private Health Insurance Age 19 to 64: Relative,pct_cni_19to64_dis_privatehealth,,0,higher_better,none,1,
eq_score_19to64_privatehealth,CP,equity,Has Private Health Insurance Age 19 to 64: Equity,pct_cni_19to64_dis_privatehealth,pct_cni_19to64_nodis_privatehealth,1,lower_better,none,1,
rel_score_65plus_privatehealth,CP,relative,Has Private Health Insurance Age 65 plus: Relative,pct_cni_65plus_dis_privatehealth,,0,higher_better,none,1,
eq_score_65plus_privatehealth,CP,equity,Has Private Health Insurance Age 65 plus: Equity,pct_cni_65plus_dis_privatehealth,pct_cni_65plus_nodis_privatehealth,1,lower_better,none,1,
rel_score_19to64_nohealthins,CP,relative,Has No Health Insurance Age 19 to 64: Relative,pct_cni_19to64_dis_nohealthins,,0,lower_better,none,1,
eq_score_19to64_nohealthins,CP,equity,Has No Health Insurance Age 19 to 64: Equity,pct_cni_19to64_dis_nohealthins,pct_cni_19to64_nodis_nohealthins,1,lower_better,none,1,
rel_score_65plus_nohealthins,CP,relative,Has No Health Insurance Age 65 plus: Relative,pct_cni_65plus_dis_nohealthins,,0,lower_better,none,1,
eq_score_65plus_nohealthins,CP,equity,Has No Health Insurance Age 65 plus: Equity,pct_cni_65plus_dis_nohealthins,pct_cni_65plus_nodis_nohealthins,1,lower_better,none,1,
rel_score_noGED,CP,relative,Highest Education Less Than High School: Relative,pct_cni_25plus_noGED_dis,,0,lower_better,none,1,
eq_score_noGED,CP,equity,Highest Education Less Than High School: Equity,pct_cni_25plus_noGED_dis,pct_cni_25plus_noGED_nodis,1,lower_better,none,1,
rel_score_bachelors,CP,relative,Highest Education Bachelors or Greater: Relative,pct_cni_25plus_bachelors_dis,,0,higher_better,none,1,
eq_score_bachelors,CP,equity,Highest Education Bachelors or Greater: Equity,pct_cni_25plus_bachelors_dis,pct_cni_25plus_bachelors_nodis,1,lower_better,none,1,
rel_score_transit,CP,relative,Commute to Work By Public Transit: Relative,pct_cni_16plus_transit_dis,,0,higher_better,none,1,
eq_score_transit,CP,equity,Commute to Work By Public Transit: Equity,pct_cni_16plus_transit_dis,pct_cni_16plus_transit_nodis,1,lower_better,none,1,
rel_score_drivealone,CP,relative,Commute to Work By Driving Alone: Relative,pct_cni_16plus_drivealone_dis,,0,lower_better,none,1,
eq_score_drivealone,CP,equity,Commute to Work By Driving Alone: Equity,pct_cni_16plus_drivealone_dis,pct_cni_16plus_drivealone_nodis,1,lower_better,none,1,
rel_score_poverty_under18,WE,relative,Living Below Poverty - Age Under 18: Relative,pct_cni_under18_poverty_dis,,0,lower_better,none,1,
eq_score_poverty_under18,WE,equity,Living Below Poverty - Age Under 18: Equity,pct_cni_under18_poverty_dis,pct_cni_under18_poverty_nodis,1,lower_better,none,1,
rel_score_poverty_18to64,WE,relative,Living Below Poverty - Age 18 to 64: Relative,pct_cni_18to64_poverty_dis,,0,lower_better,none,1,
eq_score_poverty_18to64,WE,equity,Living Below Poverty - Age 18 to 64: Equity,pct_cni_18to64_poverty_dis,pct_cni_18to64_poverty_nodis,1,lower_better,none,1,
rel_score_poverty_65plus,WE,relative,Living Below Poverty - Age 65 plus: Relative,pct_cni_65plus_poverty_dis,,0,lower_better,none,1,
eq_score_poverty_65plus,WE,equity,Living Below Poverty - Age 65 plus: Equity,pct_cni_65plus_poverty_dis,pct_cni_65plus_poverty_nodis,1,lower_better,none,1,
rel_score_medincome,WE,relative,Median Income: Relative,pop_cni_16plus_medincome_dis,,0,higher_better,none,1,
eq_score_medincome,WE,equity,Median Income: Equity,pop_cni_16plus_medincome_dis,pop_cni_16plus_medincome_nodis,1,lower_better,none,1,
rel_score_employment,WE,relative,Employment: Relative,pct_cni_16plus_employed_dis,,0,higher_better,none,1,
eq_score_employment,WE,equity,Employment: Equity,pct_cni_16plus_employed_dis,pct_cni_16plus_employed_nodis,1,lower_better,none,1,
rel_score_labor,WE,relative,Not in Labor Force: Relative,pct_cni_16plus_notlabor_dis,,0,lower_better,none,1,
eq_score_labor,WE,equity,Not in Labor Force: Equity,pct_cni_16plus_notlabor_dis,pct_cni_16plus_notlabor_nodis,1,lower_better,none,1,
