GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
000,United States,USA,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,53.342796291758106
01,Alabama,AL,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,53.19012043196537
02,Alaska,AK,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,36.71291095884466
04,Arizona,AZ,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,48.090482161130524
05,Arkansas,AR,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,38.88351168204575
06,California,CA,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,55.44601163323824
08,Colorado,CO,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,56.69394040160032
09,Connecticut,CT,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,49.119540667755956
10,Delaware,DE,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,43.28817490367932
11,District of Columbia,DC,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,61.62440665064745
12,Florida,FL,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,53.21095569925154
13,Georgia,GA,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,52.40784903409903
15,Hawaii,HI,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,47.55822400594441
16,Idaho,ID,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,48.06204835912382
17,Illinois,IL,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,45.40524571763578
18,Indiana,IN,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,43.98468323358284
19,Iowa,IA,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,40.407710612362294
20,Kansas,KS,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,60.41099976006048
21,Kentucky,KY,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,49.20177924255538
22,Louisiana,LA,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,44.88379400901518
23,Maine,ME,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,44.77650477142943
24,Maryland,MD,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,55.93757041810717
25,Massachusetts,MA,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,43.22201790102918
26,Michigan,MI,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,55.53628012644902
27,Minnesota,MN,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,47.02346856991488
28,Mississippi,MS,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,41.36188769810549
29,Missouri,MO,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,45.89792438197183
30,Montana,MT,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,51.04293892849692
31,Nebraska,NE,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,45.50538949362467
32,Nevada,NV,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,52.13344801114829
33,New Hampshire,NH,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,45.85894847545396
34,New Jersey,NJ,2023,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,43.94457717558352
