GEOID,NAME,ABBR,year,indicator_id,category,dimension,indicator_label,value_pwd,value_pwod,value_raw,direction,transform,weight,notes
000,United States,USA,2024,rel_score_home,CL,relative,Living at Home: Relative,93.2272772565292,NA,93.2272772565292,higher_better,none,1,NA
01,Alabama,AL,2024,rel_score_home,CL,relative,Living at Home: Relative,94.44834126502329,NA,94.44834126502329,higher_better,none,1,NA
02,Alaska,AK,2024,rel_score_home,CL,relative,Living at Home: Relative,93.55161212894984,NA,93.55161212894984,higher_better,none,1,NA
04,Arizona,AZ,2024,rel_score_home,CL,relative,Living at Home: Relative,94.8501376503997,NA,94.8501376503997,higher_better,none,1,NA
05,Arkansas,AR,2024,rel_score_home,CL,relative,Living at Home: Relative,94.98973373058253,NA,94.98973373058253,higher_better,none,1,NA
06,California,CA,2024,rel_score_home,CL,relative,Living at Home: Relative,92.65770112711913,NA,92.65770112711913,higher_better,none,1,NA
08,Colorado,CO,2024,rel_score_home,CL,relative,Living at Home: Relative,93.03999916479417,NA,93.03999916479417,higher_better,none,1,NA
09,Connecticut,CT,2024,rel_score_home,CL,relative,Living at Home: Relative,91.22856785410545,NA,91.22856785410545,higher_better,none,1,NA
10,Delaware,DE,2024,rel_score_home,CL,relative,Living at Home: Relative,94.65600325569815,NA,94.65600325569815,higher_better,none,1,NA
11,District of Columbia,DC,2024,rel_score_home,CL,relative,Living at Home: Relative,89.29249636252004,NA,89.29249636252004,higher_better,none,1,NA
12,Florida,FL,2024,rel_score_home,CL,relative,Living at Home: Relative,93.83130178467904,NA,93.83130178467904,higher_better,none,1,NA
13,Georgia,GA,2024,rel_score_home,CL,relative,Living at Home: Relative,94.60674137219534,NA,94.60674137219534,higher_better,none,1,NA
15,Hawaii,HI,2024,rel_score_home,CL,relative,Living at Home: Relative,93.09667764970881,NA,93.09667764970881,higher_better,none,1,NA
16,Idaho,ID,2024,rel_score_home,CL,relative,Living at Home: Relative,94.03616653878525,NA,94.03616653878525,higher_better,none,1,NA
