GEOID,NAME,ABBR,year,indicator_id,category,dimension,indicator_label,value_pwd,value_pwod,value_raw,direction,transform,weight,notes,value_transformed,value_winsor,z_score,score_100_unadjusted,score_100
000,United States,USA,2023,rel_score_home,CL,relative,Living at Home: Relative,93.19508297564455,NA,93.19508297564455,higher_better,none,1,NA,93.19508297564455,93.19508297564455,0.12443353511777348,54.95139887546162,54.95139887546162
01,Alabama,AL,2023,rel_score_home,CL,relative,Living at Home: Relative,94.12682273532332,NA,94.12682273532332,higher_better,none,1,NA,94.12682273532332,94.12682273532332,0.6576958744354995,74.46332130623324,74.46332130623324
02,Alaska,AK,2023,rel_score_home,CL,relative,Living at Home: Relative,93.93812231785394,NA,93.93812231785394,higher_better,none,1,NA,93.93812231785394,93.93812231785394,0.5496970206733236,70.8736399657196,70.8736399657196
04,Arizona,AZ,2023,rel_score_home,CL,relative,Living at Home: Relative,94.7950572485378,NA,94.7950572485378,higher_better,none,1,NA,94.7950572485378,94.7950572485378,1.0401463344786084,85.08640401434343,85.08640401434343
05,Arkansas,AR,2023,rel_score_home,CL,relative,Living at Home: Relative,94.8902284350709,NA,94.8902284350709,higher_better,none,1,NA,94.8902284350709,94.8902284350709,1.0946156313386872,86.31574677287264,86.31574677287264
06,California,CA,2023,rel_score_home,CL,relative,Living at Home: Relative,92.43445378689928,NA,92.43445378689928,higher_better,none,1,NA,92.43445378689928,92.43445378689928,-0.3108971420699115,37.793940859511835,37.793940859511835
08,Colorado,CO,2023,rel_score_home,CL,relative,Living at Home: Relative,93.10021290652917,NA,93.10021290652917,higher_better,none,1,NA,93.10021290652917,93.10021290652917,0.0701365766997405,52.795752281273444,52.795752281273444
09,Connecticut,CT,2023,rel_score_home,CL,relative,Living at Home: Relative,91.36883466859334,NA,91.36883466859334,higher_better,none,1,NA,91.36883466859334,91.36883466859334,-0.9207826148605535,17.858196669108807,17.858196669108807
10,Delaware,DE,2023,rel_score_home,CL,relative,Living at Home: Relative,94.40488250197636,NA,94.40488250197636,higher_better,none,1,NA,94.40488250197636,94.40488250197636,0.816837737917493,79.29894186024498,79.29894186024498
11,District of Columbia,DC,2023,rel_score_home,CL,relative,Living at Home: Relative,89.75814847163305,NA,89.75814847163305,higher_better,none,1,NA,89.75814847163305,89.75814847163305,-1.8426261665341932,3.269180538306142,3.269180538306142
12,Florida,FL,2023,rel_score_home,CL,relative,Living at Home: Relative,93.7714560081748,NA,93.7714560081748,higher_better,none,1,NA,93.7714560081748,93.7714560081748,0.45430894126411714,67.51967592638074,67.51967592638074
13,Georgia,GA,2023,rel_score_home,CL,relative,Living at Home: Relative,94.65702645761549,NA,94.65702645761549,higher_better,none,1,NA,94.65702645761549,94.65702645761549,0.9611472129959242,83.17609232161989,83.17609232161989
15,Hawaii,HI,2023,rel_score_home,CL,relative,Living at Home: Relative,93.11094770249044,NA,93.11094770249044,higher_better,none,1,NA,93.11094770249044,93.11094770249044,0.07628041927696262,53.04019981983006,53.04019981983006
16,Idaho,ID,2023,rel_score_home,CL,relative,Living at Home: Relative,94.07330970911096,NA,94.07330970911096,higher_better,none,1,NA,94.07330970911096,94.07330970911096,0.6270687800719285,73.46929246287198,73.46929246287198
17,Illinois,IL,2023,rel_score_home,CL,relative,Living at Home: Relative,92.4485778784655,NA,92.4485778784655,higher_better,none,1,NA,92.4485778784655,92.4485778784655,-0.3028135049479589,38.101599544156464,38.101599544156464
18,Indiana,IN,2023,rel_score_home,CL,relative,Living at Home: Relative,92.93047338350463,NA,92.93047338350463,higher_better,none,1,NA,92.93047338350463,92.93047338350463,-0.027010393988667333,48.92257219264161,48.92257219264161
19,Iowa,IA,2023,rel_score_home,CL,relative,Living at Home: Relative,90.26699818987026,NA,90.26699818987026,higher_better,none,1,NA,90.26699818987026,90.26699818987026,-1.5513963587583646,6.040336365311448,6.040336365311448
20,Kansas,KS,2023,rel_score_home,CL,relative,Living at Home: Relative,91.02529003157576,NA,91.02529003157576,higher_better,none,1,NA,91.02529003157576,91.02529003157576,-1.1174034147062224,13.191093789044949,13.191093789044949
