KFF - Custom State Reports

"","United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Dist. of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Iowa","Indiana","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Total Medicaid Spending, FY 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Medicaid Spending","$918,687,295,218","$8,156,803,465","$2,729,409,570","$19,966,771,706","$7,832,697,340","$150,413,664,949","$13,918,870,460","$10,967,111,816","$3,207,687,016","$4,147,597,260","$35,538,855,380","$15,005,884,864","$3,113,757,830","$3,933,796,146","$32,546,202,125","$8,813,898,555","$19,546,729,900","$5,192,672,869","$17,926,681,540","$16,918,343,662","$4,610,480,903","$17,848,095,113","$25,035,132,331","$24,977,121,385","$18,682,730,485","$7,187,080,341","$16,030,044,530","$2,390,129,952","$3,668,280,693","$5,955,457,480","$2,464,948,138","$23,426,076,809","$7,942,159,173","$96,024,580,523","$28,802,680,042","$1,421,845,604","$34,260,577,182","$9,874,920,466","$16,167,467,052","$43,536,218,044","$3,526,592,205","$10,085,497,940","$1,515,923,154","$13,314,379,430","$50,974,507,372","$4,943,464,166","$2,133,180,293","$22,313,257,446","$21,500,482,060","$4,942,208,180","$12,486,797,420","$767,542,853"
"Federal Medical Assistance Percentage (FMAP), FY 2027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FMAP Percentage","50.00%","72.55%","51.37%","63.81%","70.52%","50.00%","50.00%","50.00%","60.33%","70.00%","55.43%","66.63%","58.39%","67.31%","52.91%","63.33%","65.24%","62.50%","71.56%","68.14%","60.62%","50.00%","50.00%","65.70%","51.36%","77.32%","64.58%","60.01%","54.54%","59.31%","50.00%","50.00%","71.47%","50.00%","64.16%","52.91%","65.12%","65.86%","58.18%","57.41%","57.81%","69.28%","50.56%","63.34%","58.54%","61.95%","57.76%","50.02%","50.00%","74.25%","61.23%","50.00%"
"Multiplier","1.00","2.64","1.06","1.76","2.39","1.00","1.00","1.00","1.52","2.33","1.24","2.00","1.40","2.06","1.12","1.73","1.88","1.67","2.52","2.14","1.54","1.00","1.00","1.92","1.06","3.41","1.82","1.50","1.20","1.46","1.00","1.00","2.51","1.00","1.79","1.12","1.87","1.93","1.39","1.35","1.37","2.26","1.02","1.73","1.41","1.63","1.37","1.00","1.00","2.88","1.58","1.00"
"Federal and State Share of Medicaid Spending, FY 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Federal","$593,678,071,106","$6,010,262,006","$2,086,385,154","$15,122,652,545","$6,054,362,314","$93,069,855,977","$8,158,095,131","$6,511,434,996","$2,153,335,881","$3,060,570,753","$20,701,763,425","$9,989,540,513","$2,223,421,119","$2,962,220,048","$19,915,920,995","$6,269,360,079","$13,794,850,709","$3,184,408,732","$14,059,569,651","$12,919,908,364","$3,105,896,209","$10,617,239,910","$14,011,498,215","$17,953,685,050","$10,821,645,534","$5,471,207,324","$11,370,793,940","$1,823,480,488","$2,350,358,216","$4,360,560,111","$1,384,976,309","$14,096,540,293","$6,258,430,303","$55,554,991,121","$21,168,550,223","$865,226,545","$24,054,275,627","$7,483,697,279","$11,496,072,622","$26,293,360,299","$2,185,809,487","$7,042,424,338","$1,050,339,271","$8,775,528,229","$30,994,336,706","$3,585,006,411","$1,318,524,088","$14,423,985,162","$13,609,209,811","$3,844,547,830","$7,632,871,472","$425,084,291"
"State","$325,009,224,112","$2,146,541,459","$643,024,416","$4,844,119,161","$1,778,335,026","$57,343,808,972","$5,760,775,329","$4,455,676,820","$1,054,351,135","$1,087,026,507","$14,837,091,955","$5,016,344,351","$890,336,711","$971,576,098","$12,630,281,130","$2,544,538,476","$5,751,879,191","$2,008,264,137","$3,867,111,889","$3,998,435,298","$1,504,584,694","$7,230,855,203","$11,023,634,116","$7,023,436,335","$7,861,084,951","$1,715,873,017","$4,659,250,590","$566,649,464","$1,317,922,477","$1,594,897,369","$1,079,971,829","$9,329,536,516","$1,683,728,870","$40,469,589,402","$7,634,129,819","$556,619,059","$10,206,301,555","$2,391,223,187","$4,671,394,430","$17,242,857,745","$1,340,782,718","$3,043,073,602","$465,583,883","$4,538,851,201","$19,980,170,666","$1,358,457,755","$814,656,205","$7,889,272,284","$7,891,272,249","$1,097,660,350","$4,853,925,948","$342,458,562"
"Total","$918,687,295,218","$8,156,803,465","$2,729,409,570","$19,966,771,706","$7,832,697,340","$150,413,664,949","$13,918,870,460","$10,967,111,816","$3,207,687,016","$4,147,597,260","$35,538,855,380","$15,005,884,864","$3,113,757,830","$3,933,796,146","$32,546,202,125","$8,813,898,555","$19,546,729,900","$5,192,672,869","$17,926,681,540","$16,918,343,662","$4,610,480,903","$17,848,095,113","$25,035,132,331","$24,977,121,385","$18,682,730,485","$7,187,080,341","$16,030,044,530","$2,390,129,952","$3,668,280,693","$5,955,457,480","$2,464,948,138","$23,426,076,809","$7,942,159,173","$96,024,580,523","$28,802,680,042","$1,421,845,604","$34,260,577,182","$9,874,920,466","$16,167,467,052","$43,536,218,044","$3,526,592,205","$10,085,497,940","$1,515,923,154","$13,314,379,430","$50,974,507,372","$4,943,464,166","$2,133,180,293","$22,313,257,446","$21,500,482,060","$4,942,208,180","$12,486,797,420","$767,542,853"
"Medicaid Spending by Service, FY 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
