"Summary level","Program label","Program","Sub-program","Name","Code","Subsidized units available","# Occupied Units","% Occupied","# Reported","% Reported","Average months since report","% moved in past year","Number of people per unit","Number of people: total","Average Family Expenditure per month ($$)","Average HUD Expenditure per month ($$)","Household income per year","Household income per year per person","% No Income","% $1 - $4,999","% $5,000 - $9,999","% $10,000 - $14,999","% $15,000 - $19,999","% $20,000 - $24,999","% $25,000 - $29,999","% $30,000 - $39,999","% $40,000 or more","% Households where wages are major source of income","% Households where welfare is major source of income","% Households with other major sources of income","% of local median (Household income)","% low income","% very low income","% extremely low income","% 2+ adults with children","% 1 adult with children","% Children 0-5","% Children 6-12","% Children 13-17","% No Children","% female head","% female head with children","% Female Head with children between 0-5yrs","% Households where Head or spouse/Co-head has a disability","% with disability, among Head, Spouse, Co-head, aged 61 years or less","% with disability, among Head, Spouse, Co-head, aged 62 years or older","% of households with any disabled member","% with disability, among all persons in households","% of Households where both head and spouse are younger than 62","% 24 years or less (Head or spouse)","% 25 to 49 years (Head or spouse)","% 51 to 60 (Head or spouse)","% 62 or more (Head or spouse)","% 85 or more (Head or spouse)","% Minority","%Black Non-Hispanic","%Native American Non-Hispanic","%Asian or Pacific Islander Non-Hispanic","%White Non-Hispanic","%Black Hispanic","%White Hispanic","%Other Hispanic","% Hispanic","% Multiple Race","Average months on waiting list","Average months since moved in","% with utility allowance","Average utility allowance $$","% 0 - 1 bedrooms:","% 2 bedrooms","% 3+ bedrooms","% Overhoused","% in poverty (Census tract)","% minority (Census tract)","% single family owners (Census tract)","Congressional District","CBSA","PLACE","Latitude","Longitude","State","PHA Total Units","HA category"
"3","Summary of All HUD Programs","1","N/A","AL Alabama","01","92548","80491","87","80639","100","6","14","2.2","174018","367","729","15933","7383","3","13","8","35","14","9","6","7","4","28","2","67","24","99","93","73","1","43","21","27","19","55","82","43","20","33","27","47","36","18","69","4","50","15","31","2","75","74","0","0","24","1","1","0","1","1","18","91","89","192","30","33","37","25","26","61","63","NA","NA","NA","NA","NA","AL","NA","NA"
"3","Public Housing","2","N/A","AL Alabama","01","28007","25907","93","25448","98","6","16","2.1","54522","335","635","16935","7904","3","13","9","33","13","9","6","8","6","32","2","63","26","98","89","70","2","42","23","26","16","56","81","42","21","33","26","49","35","18","72","6","49","17","28","1","69","67","0","0","31","0","1","0","1","1","14","92","93","139","29","37","34","24","29","57","61","NA","NA","NA","NA","NA","AL","NA","NA"
"3","Housing Choice Vouchers","3","N/A","AL Alabama","01","41496","33845","82","34388","100","6","10","2.5","84858","423","838","16642","6744","4","13","8","31","14","10","7","9","5","34","1","61","23","99","94","72","1","53","23","34","27","46","89","53","23","33","25","64","38","17","78","3","60","15","22","1","87","85","0","0","13","1","0","0","1","1","22","101","99","248","14","35","52","35","25","66","67","NA","NA","NA","NA","NA","AL","NA","NA"
"3","Summary of All HUD Programs","1","N/A","AK Alaska","02","7935","6870","87","7425","100","8","17","1.9","14165","608","907","24103","12634","2","9","5","8","31","15","8","11","13","26","3","70","25","99","94","73","6","24","13","18","14","70","65","25","10","45","41","49","47","26","59","3","40","17","41","2","55","13","24","11","44","1","4","2","7","10","27","84","55","121","48","34","18","19","14","49","41","NA","NA","NA","NA","NA","AK","NA","NA"
"3","Public Housing","2","N/A","AK Alaska","02","1244","1095","88","1096","100","10","16","2.7","2975","819","1087","37202","13705","1","4","4","7","24","12","6","9","34","42","3","55","35","93","79","56","15","35","20","32","26","50","72","41","15","32","25","45","37","15","65","2","49","13","35","2","69","10","38","13","31","1","5","3","8","10","12","89","30","98","37","24","39","7","14","56","39","NA","NA","NA","NA","NA","AK","NA","NA"
"3","Housing Choice Vouchers","3","N/A","AK Alaska","02","4998","4272","85","4777","100","8","17","1.8","8449","594","830","22090","12489","2","9","5","8","32","15","8","11","10","24","3","71","23","100","96","76","5","21","11","16","12","74","64","22","8","52","48","58","55","34","60","2","38","20","40","2","52","15","21","9","48","1","5","1","7","12","-1","85","69","126","46","39","15","26","14","47","42","NA","NA","NA","NA","NA","AK","NA","NA"
"3","Summary of All HUD Programs","1","N/A","AZ Arizona","04","41985","37420","90","39591","100","6","9","2.1","84898","418","1159","16816","7842","9","8","6","35","15","9","5","7","7","22","0","68","20","99","95","79","4","30","13","22","20","66","73","30","11","42","37","48","46","24","56","1","38","17","44","3","65","25","3","2","33","1","30","4","35","1","26","102","71","180","47","26","27","14","21","63","49","NA","NA","NA","NA","NA","AZ","NA","NA"
"3","Public Housing","2","N/A","AZ Arizona","04","3543","3215","91","3169","99","7","10","2.8","8787","487","636","21792","7859","8","10","7","29","11","6","5","10","15","38","1","54","25","96","88","70","7","44","20","33","32","48","80","46","17","32","22","55","38","15","70","1","50","19","30","2","83","17","7","2","17","1","53","2","56","1","36","112","83","173","26","26","48","16","27","73","49","NA","NA","NA","NA","NA","AZ","NA","NA"
"3","Housing Choice Vouchers","3","N/A","AZ Arizona","04","26748","23508","88","25402","100","6","8","2.3","58462","435","1381","16726","7268","12","8","6","33","13","8","5","7","8","24","1","63","20","99","95","79","3","35","14","25","23","62","74","35","13","51","40","73","57","28","66","1","44","21","34","1","67","31","3","1","33","2","30","1","33","1","25","108","82","201","39","29","32","18","19","61","50","NA","NA","NA","NA","NA","AZ","NA","NA"
"3","Summary of All HUD Programs","1","N/A","AR Arkansas","05","52339","42818","82","42547","99","6","16","1.9","79986","347","590","15019","7989","3","10","7","42","17","10","5","4","2","19","1","77","25","99","94","71","2","31","16","20","14","67","74","31","15","42","39","48","46","26","64","5","40","18","36","2","55","52","1","1","44","0","2","0","2","1","15","74","82","129","45","31","25","20","25","48","64","NA","NA","NA","NA","NA","AR","NA","NA"
