SARPP Regional price parities by state
SARPP Regional price parities by state
State or DC
GeoFIPS,GeoName,2022,2023,2024
00000,United States,100.000,100.000,100.000
01000,Alabama,88.021,89.097,88.823
02000,Alaska,102.101,103.297,102.359
04000,Arizona,99.992,100.742,100.677
05000,Arkansas,86.913,86.810,86.937
06000,California,112.591,112.195,110.720
08000,Colorado,102.260,101.856,103.052
09000,Connecticut,106.362,104.201,103.610
10000,Delaware,98.007,98.759,99.808
11000,District of Columbia,112.594,110.713,109.901
12000,Florida,102.284,103.636,103.414
13000,Georgia,95.678,96.494,96.293
15000,Hawaii,111.148,109.703,109.951
16000,Idaho,91.802,92.236,95.494
17000,Illinois,101.205,98.752,99.958
18000,Indiana,91.875,92.097,93.329
19000,Iowa,88.351,88.769,87.762
20000,Kansas,89.609,89.908,90.068
21000,Kentucky,89.402,89.890,90.159
22000,Louisiana,90.489,88.700,88.207
23000,Maine,100.746,97.964,97.050
24000,Maryland,104.890,104.602,104.959
25000,Massachusetts,109.431,107.675,105.757
26000,Michigan,93.589,94.296,96.217
27000,Minnesota,97.457,98.302,98.621
28000,Mississippi,87.336,86.792,86.953
29000,Missouri,90.991,91.104,90.817
30000,Montana,90.179,91.014,94.645
31000,Nebraska,89.844,90.288,90.103
32000,Nevada,96.339,97.861,99.979
33000,New Hampshire,107.847,105.393,104.165
34000,New Jersey,108.759,108.941,108.805
35000,New Mexico,90.929,90.981,92.212
36000,New York,107.557,107.842,107.921
37000,North Carolina,94.013,94.399,94.326
38000,North Dakota,88.703,88.174,88.959
39000,Ohio,91.506,91.903,92.774
40000,Oklahoma,88.807,88.680,87.843
41000,Oregon,106.612,104.812,103.361
42000,Pennsylvania,96.256,97.400,97.572
44000,Rhode Island,104.453,102.065,102.280
45000,South Carolina,93.342,93.477,93.749
46000,South Dakota,87.851,88.149,88.586
47000,Tennessee,91.800,92.094,91.870
48000,Texas,97.411,97.140,97.057
49000,Utah,94.590,95.716,98.864
50000,Vermont,101.033,97.142,97.958
51000,Virginia,102.026,101.331,101.104
53000,Washington,110.035,108.370,107.013
54000,West Virginia,89.157,89.633,89.497
55000,Wisconsin,92.401,93.220,94.095
56000,Wyoming,91.767,91.551,92.691

Legend/Footnotes
"  Last updated: February 19, 2026-- new statistics for 2024; revised statistics for 2008-2023."
