ABBR,property_crime_rate,violent_crime_rate,fbi_coverage_note
AL,1641.4364665031496,1665.5150532887735,NA
AK,1073.1908624576226,1690.6583361437015,"~61% pop. covered (32 agencies, NIBRS 2024)"
AZ,1698.8633483883257,1469.5810458958392,NA
AR,2004.3686184384485,2082.8677467944262,NA
CA,1747.2840143559442,1220.8258444059031,NA
CO,2653.1977718901244,1271.0702999676532,NA
CT,1373.389179903833,843.1678425629559,NA
DE,1792.7269927190073,1674.846969865493,NA
DC,3727.4474902100387,3653.9693841224635,NA
FL,1219.3648881334361,1007.0212077407475,"~62% pop. covered (159 agencies, NIBRS 2024)"
GA,1590.3312413065858,1323.3791438807498,NA
HI,1462.0238897040824,877.0898650620338,NA
ID,740.9420806746868,933.1605369502439,NA
IL,1764.1053033001783,1770.2672099079439,NA
IN,1466.588910699069,1345.8282153213345,NA
IA,1343.7237072689927,1131.3554444900162,NA
KS,1700.2812307589904,1528.152197427321,NA
KY,1407.5362677655605,1088.250909037018,NA
LA,2086.116041980339,1630.6227438069775,NA
ME,1163.5167598746586,910.7404138907985,NA
MD,2099.291289861436,1489.403037200825,NA
MA,1093.4233031538797,1082.057185760573,NA
MI,1394.626008599811,1666.5371514421522,NA
MN,1622.9020705974065,894.6995968271387,NA
MS,1280.7541118167433,1221.5055191932229,NA
MO,1987.0647502705713,1512.00378000945,NA
MT,1681.5603442733684,1329.5546515918636,NA
NE,1639.7813020180024,1279.8034963657008,NA
NV,2252.0615910090523,1959.8533407190525,NA
NH,928.8672215638883,1050.9237459687918,NA
NJ,1508.616589387265,914.4326913875564,NA
NM,2965.84589303066,2278.3704438793443,NA
NY,2018.4879518203968,2185.226293339753,NA
NC,1995.3566623207696,1448.5722561806679,NA
ND,1721.0254854368932,1600.045509708738,NA
OH,1602.4829861307849,1451.244595898684,NA
OK,2005.2288022175162,1773.2852500358329,NA
OR,2436.4587270536354,1070.0029266131028,NA
PA,1795.358149980479,1329.1696935046978,"~51% pop. covered (202 agencies, NIBRS 2024)"
RI,1045.2945989811708,882.3611487438371,NA
SC,1994.8257117935725,1778.3988726725618,NA
SD,1770.3153899738174,1649.0115538901298,NA
TN,2056.2550518578923,2077.958304271012,NA
TX,2060.4406293448105,1591.27906913181,NA
UT,1465.4705745881988,1198.524499323477,NA
VT,1653.8343513345558,658.141259813136,NA
VA,1589.640552367655,1280.3668829141764,NA
WA,2576.1316903601896,1167.72650883105,NA
WV,1139.5264398286904,955.0828908520713,NA
WI,1160.66321169094,909.2269399181374,NA
WY,1306.930841654458,1225.7049116363178,NA
