ABBR,renter_burden,renter_burden_nodis,owner_burden,owner_burden_nodis
AK,0.07003089598352215,0.32190672355450933,0.03170896025151583,0.1461935773635751
AL,0.09810598473214484,0.3273241192050032,0.036357988050792454,0.10924593510592856
AR,0.11302306133607797,0.29182078414975393,0.03841676367869616,0.1036372412618189
AZ,0.08284350214327883,0.37792294463410253,0.03325381507809971,0.1425015084493141
CA,0.07204167531389437,0.43241543011310574,0.0392534137336639,0.2250641440356859
CO,0.08279936084703908,0.3906096163468212,0.03177196373531912,0.17469355964723146
CT,0.09985121971759818,0.3791090026106729,0.03317027719543443,0.17780883608975853
DC,0.06397332506203474,0.3459212158808933,0.027067481601596607,0.13939129350130972
DE,0.09033860635377174,0.36383841024970587,0.035231085615326334,0.13272540318216258
FL,0.08817989274931279,0.4552386102473976,0.04225547838444964,0.18632810709210104
GA,0.08284118116520352,0.37386977137223604,0.03202312765587052,0.13816091757205276
HI,0.07221250198822968,0.4409098139017019,0.03341785190761063,0.19400974604809634
IA,0.1013579443812002,0.28106196129451944,0.026112389346020358,0.1113208282962212
ID,0.09044629221109791,0.32858193336727193,0.031039995472744508,0.14460336997580747
IL,0.08514384398298303,0.33168779748115074,0.030257761475023612,0.14359758867615954
IN,0.10513260192784724,0.3104200309654219,0.029100101988178823,0.10656780245007895
KS,0.09194583036350677,0.28570919458303634,0.028940573174279897,0.1142075210939773
KY,0.10880805515239478,0.2963760885341074,0.03748748900548967,0.1123168845348943
LA,0.11243349201904229,0.382152524969663,0.038875273233092665,0.12911174405511028
MA,0.0959147001773113,0.3655230683183987,0.03406647924590706,0.17880025272120526
MD,0.08262633714496495,0.38459474866704674,0.02877820655079313,0.15216600254268886
ME,0.12585439947922317,0.3082347835521319,0.04087914461604925,0.13872988443676423
MI,0.10929565025391919,0.33412453080150145,0.034500768507603,0.12726137714572794
MN,0.10194845269932701,0.3050518705733682,0.025776919200403158,0.1373131194355787
MO,0.1018682530664082,0.28615353764914275,0.03206736791009522,0.11414058673878466
MS,0.10658819062084678,0.3423960508828555,0.041948797642713705,0.11721848290059235
MT,0.08292290682480652,0.29902502764096894,0.037189776515619215,0.15564884553648597
NC,0.08570434336681898,0.3479730039102206,0.03374705126193602,0.1300279940873845
ND,0.08264088230850582,0.24384348088835173,0.0210193573616633,0.10454278824219514
NE,0.08333333333333333,0.28353320008882965,0.02615922309375167,0.12141828077477189
NH,0.10373049105443471,0.3067186905215074,0.03715451678723799,0.16538675570395103
NJ,0.07166039080481909,0.3948785115132371,0.03531905686233314,0.19752079851235368
NM,0.09821623987743489,0.3448785292186474,0.039206667781680325,0.1247700284328483
NV,0.09214671467146715,0.39234923492349233,0.0379300054538532,0.16548842856995852
NY,0.08643803699919886,0.3800833474205664,0.036291371814806586,0.19332973693396377
OH,0.10080913039775147,0.3037986542883911,0.02961921793203584,0.11268291664637159
OK,0.09854031618710068,0.3057641188266567,0.037995520211662484,0.11962387817380978
OR,0.10835671967570938,0.3501909884627378,0.041071837544850755,0.17403826801490746
PA,0.10519070003351176,0.3077466510882265,0.030984696045342677,0.12399289716928948
RI,0.104052965912141,0.3340789120515344,0.03911384976525822,0.17414906103286384
SC,0.09233130911799896,0.36688714811386774,0.033486935120699585,0.12627114206419857
SD,0.07507768800497203,0.25730267246737104,0.023374576864713434,0.12664876853040738
TN,0.09059578624250035,0.33269150272080367,0.0333141336621615,0.11830918501452144
TX,0.0807654301725371,0.3891055895775637,0.03286158849962401,0.15598688282613524
UT,0.0652428320655354,0.3405500292568754,0.022381088695704578,0.14377081041989967
VA,0.0768538476922735,0.3594142352392169,0.02929179836251284,0.14010126130767783
VT,0.11381932021466905,0.3150715563506261,0.042505677517032554,0.16813020439061316
WA,0.09214159637021235,0.3519551257756072,0.03497377149787396,0.17037932697225186
WI,0.0905654572226007,0.27945410192734543,0.027751474374948085,0.13284741257579533
WV,0.1251262079907688,0.31963075147843645,0.03562662926658231,0.08860161287863774
WY,0.07896210565615083,0.2934478252753407,0.03364864864864865,0.14
