ABBR,geo_name,rpp_2022,rpp_2023,rpp_2024
AL,NA,88.021,89.097,88.823
AK,NA,102.101,103.297,102.359
AZ,NA,99.992,100.742,100.677
AR,NA,86.913,86.81,86.937
CA,NA,112.591,112.195,110.72
CO,NA,102.26,101.856,103.052
CT,NA,106.362,104.201,103.61
DE,NA,98.007,98.759,99.808
DC,NA,112.594,110.713,109.901
FL,NA,102.284,103.636,103.414
GA,NA,95.678,96.494,96.293
HI,NA,111.148,109.703,109.951
ID,NA,91.802,92.236,95.494
IL,NA,101.205,98.752,99.958
IN,NA,91.875,92.097,93.329
IA,NA,88.351,88.769,87.762
KS,NA,89.609,89.908,90.068
KY,NA,89.402,89.89,90.159
LA,NA,90.489,88.7,88.207
ME,NA,100.746,97.964,97.05
MD,NA,104.89,104.602,104.959
MA,NA,109.431,107.675,105.757
MI,NA,93.589,94.296,96.217
MN,NA,97.457,98.302,98.621
MS,NA,87.336,86.792,86.953
MO,NA,90.991,91.104,90.817
MT,NA,90.179,91.014,94.645
NE,NA,89.844,90.288,90.103
NV,NA,96.339,97.861,99.979
NH,NA,107.847,105.393,104.165
NJ,NA,108.759,108.941,108.805
NM,NA,90.929,90.981,92.212
NY,NA,107.557,107.842,107.921
NC,NA,94.013,94.399,94.326
ND,NA,88.703,88.174,88.959
OH,NA,91.506,91.903,92.774
OK,NA,88.807,88.68,87.843
OR,NA,106.612,104.812,103.361
PA,NA,96.256,97.4,97.572
RI,NA,104.453,102.065,102.28
SC,NA,93.342,93.477,93.749
SD,NA,87.851,88.149,88.586
TN,NA,91.8,92.094,91.87
TX,NA,97.411,97.14,97.057
UT,NA,94.59,95.716,98.864
VT,NA,101.033,97.142,97.958
VA,NA,102.026,101.331,101.104
WA,NA,110.035,108.37,107.013
WV,NA,89.157,89.633,89.497
WI,NA,92.401,93.22,94.095
WY,NA,91.767,91.551,92.691
