ABBR,ssi_monthly,fmr_1br,n_counties,ssi_pct_1br_rent
AL,720.24,896.8788098462836,67,80.30516409719193
AK,720.34,1178.311484891166,30,61.13324101789043
AZ,750.62,1495.8181314349172,15,50.181234217286885
AR,731.61,797.9407900512313,75,91.6872541323558
CA,916.04,2051.3750086073037,58,44.654926386273345
CO,733.85,1554.5251214918808,64,47.20734260606369
CT,739.85,1488.5632332730904,169,49.70228898998124
DE,752.04,1343.2124472265973,3,55.9881649066592
DC,791.08,2056,1,38.47665369649806
FL,739.43,1588.1347355362007,67,46.55965161232663
GA,742.55,1355.2101801614856,159,54.79223893606808
HI,767.2,1935.9260111814392,5,39.62961371296418
ID,717.95,1181.9889920528124,44,60.74083640602309
IL,749.04,1316.4476843830137,102,56.89857704835847
IN,731.21,939.6970027496966,92,77.81338004275507
IA,712.57,826.3132482136949,99,86.23485119480023
KS,720.75,882.1767932654726,105,81.70131038383657
KY,732.2,886.288736444937,120,82.61416058800268
LA,747.22,980.1873795268023,64,76.23236287338548
ME,708.42,1146.229910157453,518,61.80435475660263
MD,760.16,1735.166808537572,24,43.8090445402581
MA,731.68,1927.7621409753444,351,37.95488999642917
MI,746.86,1005.0538615339951,83,74.3104452989297
MN,737.2,1170.5273925880274,87,62.98015789020164
MS,722.56,907.763473585132,82,79.59782708003361
MO,713.04,908.6567835848781,116,78.47187330587893
MT,701.87,1167.0423660280487,56,60.1409186530878
NE,703.9,903.9073363231813,93,77.87302654974016
NV,754.92,1412.6139209116404,17,53.44135356621765
NH,676.08,1392.9833875628883,242,48.534677874575685
NJ,741.09,1700.11212586779,21,43.590654329444575
NM,736,985.4328014125645,33,74.6879948531228
NY,752.97,1973.428700714901,62,38.1554195359187
NC,724.12,1210.2591054720463,100,59.83181590834354
ND,671.74,835.9666936978684,53,80.35487598537956
OH,742.82,917.8443935159117,88,80.9309296050216
OK,734.09,865.8760518223191,77,84.78003271427097
OR,747.71,1409.802824527472,36,53.036494677942805
PA,753.75,1170.0992358272752,67,64.41761321783012
RI,739.1,1337.8036948018716,39,55.24726855455878
SC,720.11,1173.1902416022556,46,61.38049691041818
SD,701.22,792.3978783266973,66,88.49342220359839
TN,727.78,1179.4296975763064,95,61.70609418226171
TX,740.16,1258.9081237149808,254,58.79380600196791
UT,718.46,1241.8968667492943,29,57.85182483635639
VT,734.69,1196.6210479718552,247,61.397048066739345
VA,731.86,1526.8092379687437,133,47.93395152453108
WA,752.56,1729.0765593490055,39,43.52381020556646
WV,735.99,796.6242069655959,55,92.38860601580808
WI,728.38,954.8566196002628,72,76.2816097253351
WY,696.6,828.3791841501925,23,84.0919247282414
