GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
000,United States,USA,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,53.00765048161027
01,Alabama,AL,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,51.22470278160985
02,Alaska,AK,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,41.07733716287426
04,Arizona,AZ,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,46.49616985174808
05,Arkansas,AR,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,39.4131808106401
06,California,CA,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,55.039717891650966
08,Colorado,CO,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,56.475986810557004
09,Connecticut,CT,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,49.18576386170575
10,Delaware,DE,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,41.06690415797413
11,District of Columbia,DC,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,63.614820412410154
12,Florida,FL,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,53.15242003990836
13,Georgia,GA,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,53.34585980265594
15,Hawaii,HI,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,47.07189423737606
16,Idaho,ID,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,49.60497068378909
17,Illinois,IL,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,46.22350795008683
18,Indiana,IN,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,45.438752625371066
19,Iowa,IA,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,39.227977491173874
20,Kansas,KS,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,60.212640975977564
21,Kentucky,KY,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,47.98055822853371
22,Louisiana,LA,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,44.52985817398007
23,Maine,ME,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,45.85709575387714
24,Maryland,MD,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,56.827890411947585
25,Massachusetts,MA,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,42.982766211467656
26,Michigan,MI,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,56.25240706796513
27,Minnesota,MN,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,46.69903357598476
28,Mississippi,MS,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,39.980412789892625
29,Missouri,MO,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,45.58482421379935
30,Montana,MT,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,50.30289969284388
31,Nebraska,NE,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,47.491030488537305
32,Nevada,NV,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,47.35614649992297
33,New Hampshire,NH,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,44.91146341636197
34,New Jersey,NJ,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,44.38220671860799
35,New Mexico,NM,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,58.466357465825105
36,New York,NY,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,46.02789383374558
37,North Carolina,NC,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,46.239630208466146
38,North Dakota,ND,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,41.7302668014989
39,Ohio,OH,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,51.44633294228531
40,Oklahoma,OK,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,57.29617872588043
41,Oregon,OR,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,50.44584887327975
42,Pennsylvania,PA,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,48.0490042134739
44,Rhode Island,RI,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,48.884640933273424
45,South Carolina,SC,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,38.7081750625239
46,South Dakota,SD,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,66.630479604726915
47,Tennessee,TN,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,48.33077092423545
48,Texas,TX,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,56.423502535553126
49,Utah,UT,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,61.07088537289624
50,Vermont,VT,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,43.90954982785323
51,Virginia,VA,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,48.57700403738461
53,Washington,WA,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,49.2841111132716
54,West Virginia,WV,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,41.67341142970541
55,Wisconsin,WI,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,47.86601799691604
56,Wyoming,WY,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,1,37.19217075726922
72,Puerto Rico,PR,2024,index_eq_community_living,Community Living Index (Equity),category_index,CL,equity,category,2,0,NA
000,United States,USA,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,52.96980915648898
01,Alabama,AL,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,46.17099531275945
02,Alaska,AK,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,65.77704528223416
04,Arizona,AZ,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,71.534112485891
05,Arkansas,AR,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,51.39696532678472
06,California,CA,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,64.84404391101577
08,Colorado,CO,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,49.33962135998881
09,Connecticut,CT,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,51.735695460794076
10,Delaware,DE,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,50.90524365082239
11,District of Columbia,DC,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,52.131599698992964
12,Florida,FL,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,46.752761605352816
13,Georgia,GA,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,52.05508579393048
15,Hawaii,HI,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,67.9266745832022
16,Idaho,ID,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,45.397946545548656
17,Illinois,IL,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,38.11395523068721
18,Indiana,IN,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,34.35036461674791
19,Iowa,IA,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,19.120543711559037
20,Kansas,KS,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,33.037335954249976
21,Kentucky,KY,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,49.58596369690771
22,Louisiana,LA,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,54.55429151123977
23,Maine,ME,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,34.89657336955689
24,Maryland,MD,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,52.119060074524114
25,Massachusetts,MA,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,47.139187445176944
26,Michigan,MI,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,55.45877466412213
27,Minnesota,MN,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,50.53468764057001
